REF;DESCRICAO;SEMANA;TECIDO;COLECAO;FAMILIA;PROGRAMACAO;CORES
05879;TOP LISTRADO ATHENA;SEMANA 31;LISTRA FIO TINTO RESORT AT 24320F;VERÃO 2026;ATHENA;FC - VER26 SEM 31 - 28/07;3
06067;BATA PALA BORDADA;SEMANA 18;VISCOSE ESSENCIAL ARW800098;INVERNO 2025;WOOD;FC - INV25 SEM 18 - 28/04;1
06754;CAMISA SATIN SERPENTINE;SEMANA 34;TAG PAPEL COLLECTION;VERÃO 2027;SERPENTINE;;2
00265;CROPPED CANELADO;SEMANA;;OUTONO/INVERNO 2016;;;1
02345;CROPPED ESSENCIA;SEMANA;;INVERNO 2021;;;1
02687;MACACAO LG CANDY;SEMANA;;VERÃO 2022;;;6
02833;SHORT DELUX;SEMANA;;OFF;;;2
03661;BLUSA AFETO;SEMANA 50;AUSTRIA COTTON JACQUARD;VERÃO 2023;;;3
05404;SHORT SAVANA COM PASSADOR;SEMANA 07;MAQUINETADO LISBOA EST SAVANA;INVERNO 2025;SAVANA;FC - VER25 SEM 49 - 02/12;1
06294;BLAZER BRULEE;SEMANA 10;PATOU CHINA AT2302;INVERNO 2026;BRULEE;FC - INV26 SEM 10 - 02/03;4
01273;MACAQUINHO COOL;SEMANA;;VERÃO 2019;;;2
02230;CROPPED EST COLORS;SEMANA;;VERÃO 2021;;;1
05379;CALCA ALFAIATARIA RESORT;SEMANA 41;ALFAIATARIA RESORT 3090;VERÃO 2025;RESORT;FC - VER25 SEM 40- 30/09;4
06718;BLUSA VITAL;SEMANA 32;TRICOLINE POA VITAL AEW100560;VERÃO 2027;VITAL;FC - VER27 SEM 32 - 03/08;2
02031;BLUSA BABADO ESCAMAS;SEMANA;;INVERNO 2020;;;1
03421;BLUSA CONFORTO;SEMANA 44;EST CONFORTO BASE BROMELIA;VERÃO 2023;CONFORTO;FC - VER23 SEM 44 - 03/11;1
03735;CAMISA IKAT;SEMANA 15;EST IKAT BASE BROMELIA;INVERNO 2023;IKAT;FC - INV23 SEM15 - 10/04;1
04551;BLUSA PETIT DECOTE V;SEMANA 30;MARANT CHINA;VERÃO 2025;PETIT;FC - VER25 SEM 31 - 29/07;16
04988;VESTIDO MIDI LACO SANTORINI;CANCELADO;LINHO CHINA (AT2314);VERÃO 2025;SANTORINI;;3
06492;CALCA CORSARIO;SEMANA 44;SARJA COLOR  RW13587;ALTO VERÃO 2026;;FC - AV26 SEM 44 - 27/10;1
02656;CALCA FLARE ORIGEM;SEMANA;;VERÃO 2022;;;1
04540;CAMISA LOLA;SEMANA 05;ESTAMPA LOLA;INVERNO 2024;LOLA;FC - AV24 SEM02 - 02/01;1
05873;SAIA CROPPED DINKY;SEMANA 42;TRICOLINE 100% ALGODAO FIO 40 P11NM0043;INTERMEDIÁRIA;DINKY;FC - AV26 SEM 42 - 13/10;2
06859;MACACAO DEEP;SEMANA 28;TECIDO VERMONT CHINA RW55406-1;VERÃO 2027;DEEP;FC - VER27 SEM 28 - 06/07;3
01116;PANTALONA GRAY STRIPE;SEMANA;;VERÃO 2019;;;1
02821;VESTIDO LG LA MER;SEMANA;;VERÃO 2022;;;1
03091;BLUSA SERTAO;SEMANA;;INVERNO 2022;;;5
05604;MACAQUINHO LINHO SOUL;SEMANA 42;TAGLIARINI RAYON LINEN LISO;ALTO VERÃO 2025;SOUL;FC - VER25 SEM 42 - 14/10;9
06013;BLUSA DETALHE PALA NAIF;CANCELADO;;ALTO VERÃO 2026;NAIF;;3
06169;BLUSA ASSIMETRICA MODERN;SEMANA 46;PATOU NEW (RW82311);ALTO VERÃO 2026;MODERN;FC - AV26 SEM 46 - 10/11;3
01288;REGATA TRAPEZIO ORIENTE;SEMANA;;VERÃO 2019;;;1
05372;CALCA ALFAIATARIA CARROT SILVER;SEMANA 33;MARANT NATURE SUMMER (BETA);VERÃO 2025;SILVER;FC - VER25 SEM 33 - 12/08;4
01208;MACAQUINHO NO;SEMANA;;OFF;;;4
01953;CROPPED CITY LINHO;SEMANA;;OFF;;;1
06395;REGATA BLEND;SEMANA 10;LINHO C/ VISCOSE BRW310201;INVERNO 2026;BLEND;FC - INV26 SEM 10 - 02/03;6
01118;CROPPED ZIPER LINHO;SEMANA;;VERÃO 2019;;;1
01870;MANGA PLIE;SEMANA;;OFF;;;3
04358;REGATA LUZES DETALHE BUSTO;SEMANA 50;ESTAMPA LUZES FIOS LUREX;ALTO VERÃO 2024;LUZES;FC - VER24 SEM49 - 04/12;1
05581;CAMISA LISTRAS;CANCELADO;TRICOLINE TURIM EST LISTRAS;ALTO VERÃO 2025;LISTRAS;;1
05824;BATA LACOS LISTRADA ATHENA;SEMANA 31;LISTRA FIO TINTO RESORT AT 24320F;VERÃO 2026;ATHENA;FC - VER26 SEM 31 - 28/07;1
01394;MACACAO MIDI ETNICO;SEMANA;;VERÃO 2019;;;1
02731;SHORT LA VIE;SEMANA;;VERÃO 2022;;;1
04715;PANTALONA GALES BOLSOS;CANCELADO;MARANT CHINA;INVERNO 2024;GALES;;5
00581;TSHIRT BOLSO;SEMANA;;OUTONO/INVERNO 2017;;;1
04271;SHORT ENCANTO ALFAIATARIA;SEMANA 07;ATACAMA POLY SPAN;INVERNO 2024;ENCANTO;FC - INV24 SEM16 - 15/04;9
06187;VESTIDO CURTO COLECAO;SEMANA 05;PARISE EST COLECAO;INVERNO 2026;COLECAO;FC - INV26 SEM 05 - 26/01;1
06309;MACACAO SYNC;SEMANA 28;LINHO CHINA (AT2314);VERÃO 2027;SYNC;FC - VER27 SEM 28 - 06/07;2
02141;MACAQUINHO TULIPA PB;SEMANA;;VERÃO 2021;;;1
03069;BLUSA ENCANTO;SEMANA;;INVERNO 2022;ENCANTO;;1
03249;SAIA MIDI ENTREMEIO;SEMANA;;INVERNO 2023;;;1
03581;VESTIDO LONGO TOWN;SEMANA 48;RAVIOLI COTTON BORDADO;VERÃO 2023;;;1
04342;CROPPED DETALHE CORRENTE;SEMANA 45;BORDEAUX CREPE AIR FLOW;VERÃO 2025;SOLEIL;FC - VER25 SEM 39- 23/09;6
03510;CAMISA VOIL POA;SEMANA;;ALTO VERÃO 2023;;;1
05002;BLUSA CHARME GOLA;SEMANA 38;BROMELIA ESTAMPA CHARME;VERÃO 2025;CHARME;FC - VER25 SEM 40- 30/09;1
06247;SHORT TRESSE;SEMANA 49;MARROCAINE RW80136-1;ALTO VERÃO 2026;TRESSE;FC - AV26 SEM 46 - 10/11;3
06321;BLAZER CREMA;CANCELADO;;INVERNO 2026;CREMA;;4
06377;CROPPED RISTRETTO;SEMANA 18;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2026;RISTRETTO;FC - PECA FOTO - INV27;4
02994;SHORT ORLA;SEMANA;;INVERNO 2022;ORLA;;1
03131;SHORT ETNICO;SEMANA;;INVERNO 2022;;;1
06391;SAIA CROPPED FLORIAN;SEMANA 16;BORDADO FAM FLORIAN AEW100560-01;INVERNO 2026;FLORIAN;FC - PECA FOTO - INV27;2
00491;VESTIDO PASSAROS NEGROS;SEMANA;;VERÃO 2017;;;1
02481;REGATA SIMPLE;SEMANA;;INVERNO 2021;;;1
05697;BLUSA AMARRACAO REFLEXOS;SEMANA 07;MAQUINETADO LISBOA;INVERNO 2025;REFLEXOS;FC - AV25 SEM 04 -25/01;9
06820;BLUSA MANGA CURTA BASIC;SEMANA;VISCOSE FLASH AT 2232;CONTINUO;WORK;FC - INV26 SEM 19 - 04/05;1
01657;VESTIDO MIDI FENDA FRONTAL;SEMANA;;VERÃO 2020;;;4
02008;TSHIRT LISTRAS;SEMANA;;INVERNO 2020;;;2
02428;TSHIRT BORD;SEMANA;;VERÃO 2021;;;1
02693;CROPPED FREE;SEMANA;;OFF;FREE;;1
04979;SHSORT CHERRY COM PASSADOR;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2025;CHERRY;;2
01565;REGATA ONCA POA;SEMANA;;INVERNO 2019;;;1
03022;CROPPED TRICOT AMARRACAO;SEMANA;;ALTO VERÃO 2022;;;5
02911;CROPPED ANCESTRAL;SEMANA;;VERÃO 2022;ANCESTRAL;;1
04844;BLUSA MANGA BUFANTE PUREZA;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2025;PUREZA;;4
05359;REGATA LOVELY BABADOS;SEMANA 45;PARISE ESTAMPA LOVELY;ALTO VERÃO 2025;LOVELY;FC - VER25 SEM 45 - 04/11;1
05783;SAIA CURTA PREGAS CHAMONIX;CANCELADO;;INVERNO 2025;CHAMONIX;;3
07001;VESTIDO CROPPED SOUND;SEMANA 45;;ALTO VERÃO 2027;SOUND;;1
00622;PANTACOURT LISTRAS PB;SEMANA;;OUTONO/INVERNO 2017;;;1
02259;VESTIDO LIRIO;SEMANA;;VERÃO 2021;;;1
02804;REGATA FRANCE;SEMANA;;VERÃO 2022;;;1
03729;MACACAO NASCER;SEMANA 14;BORDEAUX CREPE AIR FLOW;INVERNO 2023;;FC - INV23 SEM14 - 03/04;3
05333;SHORT SAIA AMARRACAO VIVA;CANCELADO;VISCOSE ESSENCIAL ARW800098;VERÃO 2025;VIVA;;3
06047;CALCA ICONE;SEMANA 42;ALFAIATARIA MARRANT NEW (AT2286);INTERMEDIÁRIA;ICONE;FC - VER26 SEM 41 - 06/10;4
01524;REGATA RECORTES;SEMANA;;OFF;;;3
01542;SUETER LISTRAS PB;SEMANA;;INVERNO 2019;;;1
03254;VESTIDO FESTA;CANCELADO;;VERÃO 2023;;;1
03659;PANTALONA GLAM;SEMANA 49;EST GLAM BASE BROMELIA - INATIVO;VERÃO 2023;;FC - VER23 SEM49 - 05/12;1
04577;BLUSA VENICE MANGA BUFANTE;CANCELADO;PATOU CHINA AT2302;INVERNO 2024;VENICE;;4
04912;SAIA MIDI NUT;SEMANA 40;RAYON 40 EST NUT;VERÃO 2025;NUT;FC - VER25 SEM 42 - 14/10;1
05556;BLUSA PESPONTOS TURMALINA;SEMANA 23;LINHO CHINA (AT2314);INVERNO 2026;TURMALINA;FC - INV25 SEM 20 - 12/05;3
00391;CIGANINHA GRECIA;SEMANA;;VERÃO 2017;;;2
02225;SHORT ESPIRAL MINT;SEMANA;;OFF;;;1
02472;MACACAO LG SHAPE;SEMANA;;OFF;;;2
04590;VESTIDO PETALA ASSIMETRICO;CANCELADO;ETIQUETA COLLECTION;INVERNO 2024;PETALA;;3
06014;VESTIDO LONGO TRANCAS NAIF;SEMANA 50;MARROCAINE RW80136-1;INTERMEDIÁRIA;NAIF;FC - AV26 SEM 44 - 27/10;3
03963;CALCA FLARE MOON;SEMANA 30;ATACAMA POLY SPAN;INVERNO 2023;;FC - INV23 SEM29 - 17/07;3
04485;CALCA JADE COTELE;SEMANA 15;COTELE SPANDEX;INVERNO 2024;JADE;FC - INV24 SEM 18- 29/04;4
04933;SHORT LUAR DETALHE AMARRACAO;SEMANA 36;GRACE ESTAMPA LUAR;VERÃO 2025;LUAR;FC - VER25 SEM 34 - 19/08;1
06394;CAMISA BOTOES FLORIAN;SEMANA 16;BORDADO FAM FLORIAN AEW100560-01;INVERNO 2026;FLORIAN;FC - INV26 SEM 16 - 13/04;2
01943;CROPPED TRICOT CIGANINHA;SEMANA;;INVERNO 2020;;;5
04351;CROPPED BRISA MANGA BUFANTE;SEMANA 45;ALGODAO BORDADO DOTS CHINA (EW5585-03);VERÃO 2025;BRISA;FC - VER24 SEM49 - 04/12;4
05547;CROPPED RECORTE MOUNTAIN;CANCELADO;;INVERNO 2025;MOUNTAIN;;1
06787;CROPPED DANCE;SEMANA 42;PATOU CHINA AT2302;ALTO VERÃO 2027;DANCE;;3
01517;MAXI CARDIGAN LISTRAS;SEMANA;;INVERNO 2019;;;1
04851;CALCA CENOURA SUBLIME COM CINTO;CANCELADO;ETIQUETA PERSONALIZADA LIZIE;VERÃO 2025;SUBLIME;;3
05303;BLUSA DOTS FOIL;SEMANA 49;MARROCAINE FOIL;ALTO VERÃO 2025;DOTS FOIL;FC - VER25 SEM 49 - 02/12;9
00343;VESTIDO CURTO ARABESCO;SEMANA;;PRIMAVERA/VERÃO 2016;;;1
03120;BLUSA MORENA;SEMANA;;INVERNO 2022;;;8
07124;CAMISA JAZZ SEM MANGA;SEMANA;;ALTO VERÃO 2027;JAZZ;;3
01114;PANTACOURT LACO NEW;SEMANA;;VERÃO 2019;;;1
05515;MACACAO AMARANTO MANGA BABADO;CANCELADO;;INVERNO 2025;AMARANTO;;4
05695;VESTIDO BICOLOR LAKE;SEMANA 11;JALAPAO;INVERNO 2025;LAKE;FC - INV25 SEM 11 - 10/03;1
00584;PANTACOURT BOTAO;SEMANA;;OUTONO/INVERNO 2017;;;1
02117;CROPPED NO ATENAS;SEMANA;;VERÃO 2021;;;7
03818;VESTIDO LABIRINTO;SEMANA 20;EST LABIRINTO;INVERNO 2023;LABIRINTO;;2
04487;CALCA ESMERALDA PREGAS;SEMANA 14;ALFAIATARIA MARRANT EST ESMERALDA AT2080;INVERNO 2024;ESMERALDA;FC - INV24 SEM11 - 11/03;1
05506;VESTIDO CURTO SUN;SEMANA 48;PATOU NEW ESTAMPA SUN;ALTO VERÃO 2025;SUN;FC - VER25 SEM 48 - 25/11;1
00432;VESTIDO BASICO FLORAL;SEMANA;;VERÃO 2017;;;1
01610;REGATA TRANSPASSADA;SEMANA;;OFF;;;6
03284;BOMBER SONETO;SEMANA;;VERÃO 2023;SONETO;;1
06530;CALCA PANTALONA AFRESCO;SEMANA 49;CREPE SATIN EST AFRESCO;ALTO VERÃO 2026;AFRESCO;FC - AV26 SEM 46 - 10/11;1
00603;REGATA TROPICAL;SEMANA;;OUTONO/INVERNO 2017;;;1
05478;COLETE MAXI MATCHA;SEMANA 28;ATACAMA CHINA (AT-1909);VERÃO 2027;MATCHA;FC - VER27 SEM 28 - 06/07;3
06570;REGATA DECOTE V;SEMANA;BORDEAUX CREPE AIR FLOW;BAZAR FABRICA;;FC - BAZAR - 2025        ;2
01794;CROPPED LASTEX LINHO;SEMANA;;OFF;;;7
03622;VESTIDO CURTO NY;SEMANA;ELASTICO 9MM (10);VERÃO 2023;;EXT - VER23 SEM46 - 14/11;5
04187;PANTALONA ARCOS CLASSICA;SEMANA 44;MARROCAINE EST ARCOS CHINA (PW80136-6);ALTO VERÃO 2024;ARCOS;FC - VER24 SEM44 - 30/10;1
04804;VESTIDO CURTO DECOTE QUADRADO;BAZAR;TECIDO DIVERSOS BAZAR;BAZAR 2024;;;1
05930;PANTALONA VIVO TEXTURA;CANCELADO;;ALTO VERÃO 2026;TEXTURA;;2
03065;VESTIDO CURTO CORDEL;SEMANA;;INVERNO 2022;;;8
06378;MACACAO RISTRETTO;SEMANA 18;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2026;RISTRETTO;FC - PECA FOTO - INV27;3
00264;MAXI CARDIGAN;SEMANA;;OUTONO/INVERNO 2016;;;1
00795;BODY COMPLEX;SEMANA;;VERÃO 2018;;;1
00836;VESTIDO LIBERTY NAVY;SEMANA;;VERÃO 2018;;;1
04027;VESTIDO CURTO DETALHE BUSTO;CANCELADO;TARSILA ECOIMA;VERÃO 2024;SOLARIS;FC - VER24 SEM32 - 07/08;2
00423;BODY CANELADO;SEMANA;;OFF;;;31
03949;CALCA TROPICO;SEMANA 32;MARANT CHINA;VERÃO 2024;TROPICO;FC - INV23 SEM29 - 17/07;4
04886;COLETE GALES BOTAO;SEMANA 19;MARANT CHINA;INVERNO 2024;GALES;;1
04902;CROPPED AMANHECER;SEMANA 28;LINHO CHINA (AT2314);VERÃO 2025;AMANHECER;FC - INV24 SEM26 - 24/06;9
06286;VESTIDO CROPPED ALCAS CAFFEINE;SEMANA 05;MAQUINETADO LISBOA EST CAFFEINE;INVERNO 2026;CAFFEINE;FC - INV26 SEM 05 - 26/01;1
00428;PANTALONA FLOWER;SEMANA;;VERÃO 2017;;;1
06293;VESTIDO CROPPED MOCHA;SEMANA 10;VISCOSE JACQUARD AJW800173;INVERNO 2026;MOCHA;FC - INV26 SEM 10 - 02/03;3
03026;CALCA SERTAO;SEMANA;;INVERNO 2022;;;21
06385;CALCA AMARRACAO COFFEE;SEMANA 16;MARROCAINE EST COFFEE PW80136;INVERNO 2026;COFFEE;FC - INV26 SEM 16 - 13/04;1
00284;VESTIDO LISTRAS PB;SEMANA;;OUTONO/INVERNO 2016;;;1
00789;SHORT (18);SEMANA;;VERÃO 2018;;;1
03255;MACACAO FESTA;SEMANA 46;;VERÃO 2023;;;4
03496;CAMISA FUN;SEMANA 43;EST FUN ONCA PRINT;VERÃO 2023;FUN;FC - VER23 SEM43 - 24/10;1
03962;CROPPED MOON;SEMANA 30;ATACAMA POLY SPAN;INVERNO 2023;;FC - INV23 SEM29 - 17/07;3
04911;REGATA NUT ALCA TRANCA;SEMANA 40;RAYON 40 EST NUT;VERÃO 2025;NUT;FC - VER25 SEM 42 - 14/10;1
02138;SAIA LONGA TULIPA PB;SEMANA;;VERÃO 2021;;;1
00684;VESTIDO FLY;SEMANA;;OUTONO/INVERNO 2017;;;3
04315;MACAQUINHO VERANO RECORTE COSTAS;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2024;VERANO;;3
04699;BLAZER CROPPED RISCA DE GIZ;SEMANA 10;ALFAIATARIA RISCA GIZ(ADS220418-2);INVERNO 2024;RISCA DE GIZ;FC - INV24 SEM11 - 11/03;4
06315;BOMBER IRISH;SEMANA 10;GGT EST IRISH;INVERNO 2026;IRISH;FC - INV26 SEM 10 - 02/03;1
00327;CAMISA ETNICA ML;SEMANA;;OUTONO/INVERNO 2016;;;1
06720;SAIA CROPPED VITAL;SEMANA 32;TRICOLINE POA VITAL AEW100560;VERÃO 2027;VITAL;FC - VER27 SEM 32 - 03/08;2
00591;PANTACOURT LACO TROPICAL;SEMANA;;OUTONO/INVERNO 2017;;;1
02097;CROPPED TEXTURE;SEMANA;;OFF;;;5
04559;VESTIDO LONGO CELESTE;SEMANA 17;MARROCAINE ESTAMPA CELESTE;INVERNO 2024;CELESTE;;1
01945;REGATA LIBERTY ALFAITARIA;SEMANA;;OFF;;;3
02115;SAIA MIDI ATENAS;SEMANA;;OFF;;;3
06118;CAMISA LINHO MAM;SEMANA 42;LINHO 100%;ALTO VERÃO 2026;MAM;FC - AV26 SEM 42 - 13/10;3
00304;BLUSA CANELADA MUSGO;SEMANA;;OUTONO/INVERNO 2016;;;1
00824;VESTIDO ROMA FOLHAGEM;SEMANA;;VERÃO 2018;;;1
01186;PANTALONA BRISA;SEMANA;;VERÃO 2019;;;1
01669;CROPPED LISTRA NEON;SEMANA;;VERÃO 2020;;;1
01924;VESTIDO CURTO MOLDURA;SEMANA;;INVERNO 2020;;;1
02387;BLUSA WAY;SEMANA;;INVERNO 2021;;;1
03675;CAMISA LEOPARDO;SEMANA 09;EST LEOPARDO;INVERNO 2023;LEOPARDO;FC - INV23 SEM09 - 01/03;1
04827;CROPPED RECORTES FLY;SEMANA 32;ATACAMA CHINA (AT-1909);VERÃO 2025;FLY;FC - VER25 SEM 31 - 29/07;16
05841;BLUSA COM PALA COSTA;SEMANA 27;VISCOSE FLASH AT 2232;VERÃO 2026;COSTA;FC - VER26 SEM 27 - 01/07;3
06289;BLUSA LISTRAS MACCHIATO;CANCELADO;MARRANT EST MACCHIATO BPW850512-01;INVERNO 2026;MACCHIATO;;1
06725;BLUSA LINHO LUST;SEMANA 32;LINHO 100%;VERÃO 2027;LUST;FC - VER27 SEM 32 - 03/08;3
00615;REGATA BOTOES;SEMANA;;OFF;;;2
01843;VESTIDO CURTO GLAM;SEMANA;;VERÃO 2020;;;1
03753;VESTIDO INFANTIL HONNEY;SEMANA 17;EST HONNEY BASE NATHALY;INVERNO 2023;HONNEY;FC - INV23 SEM17 - 24/04;1
03834;MACAQUINHO DIV 6000;BAZAR;;BAZAR 2023;;;1
00617;CALCA SKINNY CINTURA ALTA;SEMANA;;OUTONO/INVERNO 2017;;;1
02131;MACACAO TULIPA VERMELHO;SEMANA;;VERÃO 2021;;;1
05370;PANTALONA LINEN VIVO NATURE;SEMANA 35;LINNEN STRECH ESSENCIAL;VERÃO 2025;NATURE;FC - VER25 SEM 35 - 26/08;9
06432;SHORT LISTRAS ALLEGRO;SEMANA 21;ALFAIATARIA FAM ALLEGRO BYW850198;INVERNO 2026;ALLEGRO;FC - INV26 SEM 21 - 18/05;1
00841;VESTIDO FLY ROMANTIC;SEMANA;;VERÃO 2018;;;1
00930;REGATA POA PALMEIRA;SEMANA;;VERÃO 2018;;;1
01240;MACACAO DECOTE V;SEMANA;;VERÃO 2019;;;3
01965;COLETE LINHO SANTORINI;SEMANA;;OFF;;;2
03036;REGATA CORDEL;SEMANA;;INVERNO 2022;;;6
03866;VESTIDO/CAMISA - INFANTIL DIV 3000;BAZAR;;BAZAR 2023;;;1
04464;CROPPED BALI BABADOS;SEMANA 05;HEAVY TWILL AIRJET;INVERNO 2024;BALI;FC - AV24 SEM09 - 26/02;9
05283;VESTIDO LONGO FELICITA LAISE;SEMANA 42;ALGODAO BORDADO DOTS CHINA (EW5585-03);ALTO VERÃO 2026;FELICITA;FC - VER25 SEM 45 - 04/11;9
05887;REGATA DECOTE COSTAS VISION;SEMANA 31;CHALLIS FLORENCE EST POA;VERÃO 2026;VISION;FC - VER26 SEM 31 - 28/07;1
00856;PANTALONA BASIC DUBAI;SEMANA;;VERÃO 2018;;;1
01087;PANTALONA POA BAMBU;SEMANA;;INVERNO 2018;;;1
01405;PANTALONA BOTOES;SEMANA;;INVERNO 2019;;;4
01881;CROPPED TRIPLE;SEMANA;;VERÃO 2020;;;2
05280;VESTIDO LONGO LACOS COSMOS;SEMANA 31;TRICOLINE 3199;VERÃO 2025;COSMOS;FC - VER25 SEM 31 - 29/07;9
00602;BLUSA MANGA POA;SEMANA;;OUTONO/INVERNO 2017;;;1
01650;VESTIDO CURTO LA BELLE;SEMANA;;VERÃO 2020;;;1
01751;SUTIA BASIC RENDA;SEMANA;;OFF;;;2
03222;CALCA NORDESTE;SEMANA;ENTRETELA ( CABERAF );VERÃO 2023;;;35
05601;BLUSA INSPIRAR DECOTE CANOA;SEMANA 46;LINHO CHINA (AT2314);ALTO VERÃO 2025;INSPIRAR;FC - VER25 SEM 46 - 11/11;1
05864;SHORT SOFT;SEMANA 36;LINHO CHINA (AT2314);VERÃO 2026;SOFT;FC - VER26 SEM 37 - 08/09;2
02370;VESTIDO INFINITO;SEMANA;;INVERNO 2021;;;1
02779;SAIA MD LASIE;SEMANA;;OFF;;;6
04298;SHORT ELEMENTO ALFAIATARIA;SEMANA 44;MARRANT LUREX CHINA (ADS220326Q);ALTO VERÃO 2024;ELEMENTO;FC - VER24 SEM44 - 30/10;16
04708;PANTALONA SEMEAR DETALHE PASSADOR;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2024;SEMEAR;;3
06238;SAIA CROPPED CREATIVE;SEMANA 39;PATOU CHINA AT2302;VERÃO 2026;CREATIVE;FC - VER26 SEM 38 - 15/09;3
06422;BLUSA MANGAS COFFEE;SEMANA 16;MARROCAINE EST COFFEE PW80136;INVERNO 2026;COFFEE;FC - INV26 SEM 16 - 13/04;1
01038;BODY VIES;SEMANA;;INVERNO 2018;;;3
02079;CROPPED ATENAS;SEMANA;;OFF;;;6
04813;CALCA FLARE SUNNY;SEMANA 32;ATACAMA POLY SPAN;VERÃO 2025;SUNNY;FC - VER25 SEM 30 - 22/07;9
02465;VESTIDO LEQUE;SEMANA;;INVERNO 2021;;;1
03618;PANTALONA CELEBRATE;SEMANA 51;EST CELEBRATE BASE PARISE;VERÃO 2023;;FC - VER23 SEM51 - 19/12;1
04482;CROPPED CAMINHOS MANGA BUFANTE;SEMANA 07;LINHO CHINA (AT2314);INVERNO 2024;CAMINHOS;FC - INV24 SEM10 - 04/03;16
05679;REGATA NEW GLOW BASIC;SEMANA 18;GGT EST GLOW;INVERNO 2025;NEW GLOW;FC - INV25 SEM 18 - 28/04;1
05704;CAMISA CROPPED LISTRAS;SEMANA 49;TRICOLINE TURIM EST LISTRAS;ALTO VERÃO 2025;LISTRAS;FC - VER25 SEM 49 - 02/12;1
05849;CAMISA OVER POETIC;SEMANA 39;TRICOLINE MILANO 3547;INTERMEDIÁRIA;POETIC;FC - VER26 SEM 38 - 15/09;3
01046;CALCA CASUAL PIED POULE;SEMANA;;OFF;;;1
01212;TSHIRT NO;SEMANA;;OFF;;;9
01303;MACACAO LONGO LIBERTY;SEMANA;;VERÃO 2019;;;3
01321;PANTALONA GRECIA;SEMANA;;VERÃO 2019;;;3
01968;CALCA CENOURA LINHO SANTORINI;SEMANA;;OFF;;;6
02933;SHORT PEROLA;SEMANA;;VERÃO 2022;PEROLA;;1
06447;BLUSA MOGGIANA;CANCELADO;;INVERNO 2026;MOGGIANA;;1
02139;KIMONO TULIPA PB;SEMANA;;VERÃO 2021;;;1
03159;CALCA;SEMANA;;INVERNO 2022;;;1
04379;BLUSA LEVEZA BASIC;SEMANA 50;NEW VISCOSE TWILL LISO;ALTO VERÃO 2024;LEVEZA;FC - VER24 SEM50 - 11/12;9
00397;CAMISA LISTRAS;SEMANA;;VERÃO 2017;;;1
01216;REGATA ATLANTA;SEMANA;;VERÃO 2019;;;1
0280524;VESTIDO LONGO IVE TEXTURA;SEMANA;;VERÃO 2025;;;0
04538;BLAZER RAVENA;CANCELADO;PATOU NEW (RW82311);INVERNO 2024;RAVENA;;4
00810;MACACAO MIDI DEBRUM;SEMANA;;VERÃO 2018;;;2
02584;MACACAO MARINA;SEMANA;;VERÃO 2022;;;1
05915;BLUSA COM BOTOES HORIZONTE;CANCELADO;VISCOSE ESSENCIAL ARW800098;VERÃO 2026;HORIZONTE;;2
00683;MACACAO LIBERTY;SEMANA;;OUTONO/INVERNO 2017;;;3
02101;VESTIDO MIDI SAN;SEMANA;;OFF;;;4
02120;PANTALONA EST SANTORINI;SEMANA;;VERÃO 2021;;;1
03126;CROPPED SOLO;SEMANA;;INVERNO 2022;SOLO;;1
04228;SHORT RAIZES PESPONTADO;CANCELADO;LINHO CHINA (AT2314);VERÃO 2024;RAIZES;;4
04483;COLETE JADE COTELE;SEMANA 15;COTELE SPANDEX;INVERNO 2024;JADE;FC - INV24 SEM 18- 29/04;4
00310;BLUSA CANELADA;SEMANA;;OUTONO/INVERNO 2016;;;8
02278;CAMISA NEON;SEMANA;;OFF;;;6
02543;BLUSA ML INSTANTE;SEMANA;;INVERNO 2021;;;1
07093;CALCA PANTALONA LOVE;SEMANA 48;;ALTO VERÃO 2027;MOVE;;1
00358;VESTIDO LONGO FOLHAGEM;SEMANA;;PRIMAVERA/VERÃO 2016;;;1
00465;MACACAO MIDI GARDENIA;SEMANA;;VERÃO 2017;;;1
00768;VESTIDO LACO LINHO;SEMANA;;VERÃO 2018;;;2
03716;SHORT CACAU;SEMANA 09;INATIVO;ALTO VERÃO 2023;;FC - INV23 SEM09 - 27/02;3
04199;MACAQUINHO FLORESCER TRANSPASSE;SEMANA 39;PARISE ESTAMPA FLORESCER(H9803 EA0005);VERÃO 2024;FLORESCER;FC - VER23 SEM37 - 11/09;1
04913;VESTIDO CURTO NUT;SEMANA 40;RAYON 40 EST NUT;VERÃO 2025;NUT;FC - VER25 SEM 42 - 14/10;1
02242;BLAZER ATEMPORAL;SEMANA;;VERÃO 2021;;;4
02277;VESTIDO BORDADO CHIC;SEMANA;;VERÃO 2021;;;2
04347;VESTIDO MIDI JARDIM;SEMANA 51;TRICOLINE MILANO 3547;ALTO VERÃO 2024;JARDIM;FC - VER24 SEM45 - 06/11;4
01962;REGATA GOLA SAN;SEMANA;;OFF;;;5
02732;VESTIDO MD LA VIE;SEMANA;;VERÃO 2022;;;1
02967;CROPPED LEME;SEMANA;;VERÃO 2022;;;4
